user1 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user2 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user3 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user4 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user5 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user6 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user7 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user8 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user9 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user10 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user11 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user12 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user13 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user14 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user15 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user16 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user17 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user18 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user19 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
user20 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
teach22 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
teach23 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
add_journal ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
add_plan ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
mailer ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
admin ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
submitor2 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
mailer2 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-001 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-003 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-004 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-005 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-006 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-007 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-008 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-009 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-010 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-011 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-012 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-013 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-014 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-015 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-016 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-017 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-018 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-019 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-020 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-021 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-022 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-023 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-024 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-025 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-026 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-027 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-028 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-029 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-030 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-031 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-032 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-033 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-034 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-035 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-036 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-037 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-038 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-039 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-040 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-041 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-042 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-043 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-044 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-045 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-046 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-047 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-048 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-049 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-050 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
submitor ; 9;1;1;1;15;4;1;10;-1;-1;9;9;5;12; = 75
add_user ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
all24 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
add_grade ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
teach21 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-005 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-006 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-007 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-008 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-009 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-010 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-011 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
